Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-10-31,1.6,1.64,2.35
2024-08-01,1.35,1.4,3.99
2024-05-02,1.5,1.53,1.97
2024-02-01,2.1,2.18,3.9
2023-11-02,1.39,1.46,4.92
2023-08-03,1.19,1.26,5.49
2023-05-04,1.43,1.52,6.03
2023-02-02,1.94,1.88,-2.88
2022-10-27,1.27,1.29,1.55
2022-07-28,1.16,1.2,3.25
2022-04-28,1.43,1.52,6.44
2022-01-27,1.89,2.1,11.17
2021-10-28,1.24,1.24,0.3
2021-07-27,1.01,1.3,29.12
2021-04-28,0.99,1.4,41.89
2021-01-27,1.41,1.68,19.02
2020-10-29,0.7,0.73,4.25
2020-07-30,0.51,0.65,26.25
2020-04-30,0.57,0.64,12.78
2020-01-28,1.14,1.25,9.73
